Generation,evals,avg,std,min,max,best_one,fitness_best_one
66,328,[  7.         397.20089865],[0.         1.17630546],[  7.         393.33106565],[  7.         397.70476513],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 14, 12, 7, 4, 1, 2]","(7.0, 393.33106565423856)"
67,344,[  7.         396.74362445],[0.         1.56631084],[  7.         393.33106565],[  7.         397.60953743],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 14, 12, 7, 4, 1, 2]","(7.0, 393.33106565423856)"
68,346,[  7.         395.80107458],[0.         1.87446755],[  7.         393.33106565],[  7.         397.60953743],"[21, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 24, 20, 15, 19, 18, 16, 14, 12, 7, 4, 1, 2]","(7.0, 393.33106565423856)"
69,344,[  7.         394.17185638],[0.         1.27449806],[  7.         392.12458838],[  7.       397.188199],"[25, 24, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 1, 2, 4, 7]","(7.0, 392.1245883766783)"
70,316,[  7.         393.41218509],[0.         0.21038484],[  7.         390.52747535],[  7.         393.45302354],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 1, 2]","(7.0, 390.52747535158903)"
71,334,[  7.         393.35293143],[0.         0.35883792],[  7.         390.52747535],[  7.         393.45302354],"[24, 25, 23, 8, 6, 9, 11, 10, 17, 13, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 7, 4, 1, 2]","(7.0, 390.52747535158903)"
72,332,[  7.         393.20946533],[0.         0.56552847],[  7.         390.40353122],[  7.         393.45302354],"[24, 25, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 1, 2, 4, 7]","(7.0, 390.4035312185307)"
73,340,[  7.         392.92246576],[0.         0.81485209],[  7.         390.40353122],[  7.         393.33106565],"[24, 25, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 1, 2, 4, 7]","(7.0, 390.4035312185307)"
74,336,[  7.         392.42272271],[0.         1.02528301],[  7.         390.40353122],[  7.         393.33106565],"[24, 25, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 1, 2, 4, 7]","(7.0, 390.4035312185307)"
75,328,[  7.       391.584692],[0.         0.86634883],[  7.         390.40353122],[  7.         392.83317419],"[24, 25, 23, 8, 6, 9, 11, 10, 13, 17, 3, 5, 22, 21, 20, 15, 19, 18, 16, 14, 12, 1, 2, 4, 7]","(7.0, 390.4035312185307)"
